,,,,,,,,,,,Boaz's Point Lat,,Boaz's Point Lon,,Boaz's Point Alt,
117,1c:b9:c4:15:ed:3c,Ariel_University,36,-91,32.10443396,35.21025489,710.4770499,03/12/2017 09:05,Approx. w-center algo1,,32.10443396,MATCH,35.21025489,MATCH,710.4770499,MATCH
118,1c:b9:c4:95:fd:47, ,36,-88,32.10452103,35.21028362,710.5814622,03/12/2017 09:05,Approx. w-center algo1,,32.10452103,MATCH,35.21028362,MATCH,710.5814622,MATCH
119,1c:b9:c4:15:ed:38,Ariel_University,6,-87,32.10457393,35.21028362,710.6278805,03/12/2017 09:06,Approx. w-center algo1,,32.10457393,MATCH,35.21028362,MATCH,710.6278805,MATCH
120,3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,6,-82,32.10458831,35.21030941,710.6710794,03/12/2017 09:06,Approx. w-center algo1,,32.10458831,MATCH,35.21030941,MATCH,710.6710794,MATCH
121,00:27:22:f3:bb:2b, ,6,-87,32.10464283,35.21036013,710.7485234,03/12/2017 09:06,Approx. w-center algo1,,32.10464283,MATCH,35.21036013,MATCH,710.7485234,MATCH
122,24:79:2a:2b:07:bc,Ariel_University,36,-85,32.10465317,35.21036963,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,32.10465317,MATCH,35.21036963,MATCH,710.7830608,MATCH
123,60:e3:27:7b:e0:98,HelpDesk,4,-83,32.10466627,35.21038663,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,32.10466627,MATCH,35.21038663,MATCH,710.7830608,MATCH
124,24:79:2a:ab:bd:87, ,44,-84,32.10466627,35.2103962,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,32.10466627,MATCH,35.2103962,MATCH,710.7830608,MATCH
125,24:79:2a:2c:5c:1c,Ariel_University,36,-84,32.10466627,35.21056695,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,32.10466627,MATCH,35.21056695,MATCH,710.7830608,MATCH
126,24:79:2a:ab:07:b7, ,36,-87,32.10466627,35.21058834,710.8162815,03/12/2017 09:06,Approx. w-center algo1,,32.10466627,MATCH,35.21058834,MATCH,710.8162815,MATCH
127,24:79:2a:2b:bd:8c,Ariel_University,44,-83,32.10473751,35.21078094,710.8779586,03/12/2017 09:06,Approx. w-center algo1,,32.10473751,MATCH,35.21078094,MATCH,710.8779586,MATCH
128,1c:b9:c4:96:1d:77, ,44,-90,32.1047433,35.21079152,710.9061261,03/12/2017 09:06,Approx. w-center algo1,,32.1047433,MATCH,35.21079152,MATCH,710.9061261,MATCH
129,1c:b9:c4:96:e5:a7, ,36,-90,32.10475343,35.21080784,710.9061261,03/12/2017 09:06,Approx. w-center algo1,,32.10475343,MATCH,35.21080784,MATCH,710.9061261,MATCH
130,24:79:2a:ac:5c:17, ,36,-85,32.10475928,35.21083207,710.9347989,03/12/2017 09:06,Approx. w-center algo1,,32.10475928,MATCH,35.21083207,MATCH,710.9347989,MATCH
131,1c:b9:c4:16:28:ec,Ariel_University,36,-84,32.10475993,35.21091349,711.0424025,03/12/2017 09:06,Approx. w-center algo1,,32.10475993,MATCH,35.21091349,MATCH,711.0424025,MATCH
132,1c:b9:c4:96:28:e7, ,36,-85,32.10476714,35.21092024,711.0424025,03/12/2017 09:06,Approx. w-center algo1,,32.10476714,MATCH,35.21092024,MATCH,711.0424025,MATCH
133,1c:b9:c4:15:1c:bc,Ariel_University,36,-84,32.10476714,35.21092789,711.0753764,03/12/2017 09:06,Approx. w-center algo1,,32.10476714,MATCH,35.21092789,MATCH,711.0753764,MATCH
134,8c:0c:90:2e:e8:18,Ariel_University,6,-90,32.10479078,35.21104487,711.1571521,03/12/2017 09:06,Approx. w-center algo1,,32.10479078,MATCH,35.21104487,MATCH,711.1571521,MATCH
